symbol,timeframe,horizon,event_spec,event,slice_name,slice,n,mean,std,sharpe,sharpe_ann,q05,q50,q95,hit_rate
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2025,conditional,18,-0.0015952547268977299,0.021107040296743547,-0.07557927139333932,-1.199783738269404,-0.050670126338330304,0.004442511561614126,0.01834074950737251,0.6666666666666666
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2026,unconditional,5,0.003179153796776091,0.004564236268374866,0.6965357641111017,11.057162466601943,-0.0025990449313175513,0.005947187808991838,0.00665078123862739,0.6
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2026,conditional,0,,,,,,,,
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2020,unconditional,15,0.0003943522163540436,0.006683521907088304,0.059003654336167846,0.936653974905108,-0.009838550169387937,0.0008985949243001112,0.010069382966083257,0.5333333333333333
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2020,conditional,0,,,,,,,,
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2021,unconditional,252,0.0010610142091452104,0.008209389810391605,0.12924397959543327,2.0516845707709366,-0.013057426836882047,0.0014195065829383235,0.014322497494739217,0.5833333333333334
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2021,conditional,0,,,,,,,,
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2022,unconditional,251,-0.0007862970489240624,0.015283762581342892,-0.05144656263398821,-0.8166888632318453,-0.026267693724207508,-0.0021546433928814057,0.025004461079648155,0.4262948207171315
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2022,conditional,4,-0.0020792665738794125,0.007913384879542174,-0.2627531208869633,-4.171076484437976,-0.006982522603137797,-0.005454541241548316,0.007549373990115432,0.25
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2023,unconditional,250,0.0008988720893185764,0.008312054765227887,0.10814078043360106,1.7166816696704883,-0.013887535582583061,0.0007125631366277085,0.014501701100326102,0.56
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2023,conditional,0,,,,,,,,
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2024,unconditional,252,0.0008754778219092463,0.007920820542485565,0.11052867783247619,1.7545883657130579,-0.01324259814377206,0.0010327906950720056,0.011978125766872969,0.5873015873015873
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2024,conditional,1,0.007732133188955048,,,,0.007732133188955048,0.007732133188955048,0.007732133188955048,1.0
SPY,1d,1,gap_up:0.02,gap_up>=0.02,2025,unconditional,250,0.0006973349635843014,0.012270996495554154,0.05682790014950697,0.9021149479536343,-0.016502342438835194,0.001401395212205947,0.015351069794974082,0.572
