symbol,timeframe,horizon,event_spec,event,slice_name,slice,n,mean,std,sharpe,q05,q50,q95,hit_rate
SPY,1d,1,close_below_sma:50,close<sma50,2021-03-15→2022-03-11,unconditional,252,0.00024278568217144168,0.009158399834220062,0.026509618117379074,-0.01715835673127239,0.0006898804668861169,0.015169388885885867,0.5357142857142857
SPY,1d,1,close_below_sma:50,close<sma50,2021-03-15→2022-03-11,conditional,63,-0.0005754383294262381,0.013362715037281273,-0.0430629799274171,-0.020108503338474425,-0.0018237359230384165,0.018357692749870178,0.4603174603174603
SPY,1d,1,close_below_sma:50,close<sma50,2021-06-14→2022-06-10,unconditional,252,-0.00042620455476596343,0.012061904663595701,-0.035334764007238485,-0.020696127756523935,0.0005347701427730334,0.018860077198131518,0.5238095238095238
SPY,1d,1,close_below_sma:50,close<sma50,2021-06-14→2022-06-10,conditional,107,-0.0008898931276180115,0.016185410571837703,-0.05498118961321921,-0.029334082842180465,-0.0009446133996867667,0.02338775944249201,0.4953271028037383
SPY,1d,1,close_below_sma:50,close<sma50,2021-09-13→2022-09-12,unconditional,252,-0.0004125145222287246,0.013675609095432405,-0.03016425223550026,-0.023630036341451062,-0.0003136907589413318,0.021447889603717428,0.49206349206349204
SPY,1d,1,close_below_sma:50,close<sma50,2021-09-13→2022-09-12,conditional,138,-0.00010616455011759356,0.015853652493514055,-0.00669653571383799,-0.029068144438680533,-0.0008836283276487111,0.024886089274641036,0.4855072463768116
SPY,1d,1,close_below_sma:50,close<sma50,2021-12-10→2022-12-09,unconditional,252,-0.0005414164817414012,0.0151917331158237,-0.035638888441073394,-0.02615054673813856,-0.0017094018623388108,0.02498755082178999,0.43253968253968256
SPY,1d,1,close_below_sma:50,close<sma50,2021-12-10→2022-12-09,conditional,156,0.00012989521999627143,0.016915549700357184,0.007679042200652138,-0.02896951723369967,-0.002378378527720715,0.02607255586026741,0.4551282051282051
SPY,1d,1,close_below_sma:50,close<sma50,2022-03-14→2023-03-14,unconditional,252,-0.00016356932763082643,0.014813372682416337,-0.011042004487268811,-0.02474723163492761,-0.001058615303430599,0.02441290802097037,0.45634920634920634
SPY,1d,1,close_below_sma:50,close<sma50,2022-03-14→2023-03-14,conditional,137,0.001023898004529392,0.016789877136725213,0.06098305521782386,-0.028967777330400946,-0.0008226432556106555,0.026051321569177905,0.48175182481751827
SPY,1d,1,close_below_sma:50,close<sma50,2022-06-13→2023-06-13,unconditional,252,0.0006894284868466131,0.012723524379922174,0.05418533939656979,-0.018196496296556303,-0.0006212437924861258,0.02187167475715406,0.4801587301587302
SPY,1d,1,close_below_sma:50,close<sma50,2022-06-13→2023-06-13,conditional,103,0.0022374760205031005,0.01487759220827057,0.1503923477119685,-0.017404090600530144,-0.0008226432556106555,0.02634860164443091,0.47572815533980584
SPY,1d,1,close_below_sma:50,close<sma50,2022-09-13→2023-09-13,unconditional,252,0.0006001489407295798,0.011037248284990451,0.054374870006840575,-0.01612180788048646,7.684876163704946e-05,0.0182308345188877,0.5
SPY,1d,1,close_below_sma:50,close<sma50,2022-09-13→2023-09-13,conditional,86,0.0019165416553683322,0.014099479035978739,0.13592996241050775,-0.01697355120746369,0.0008236383247146595,0.025348079416331937,0.5116279069767442
SPY,1d,1,close_below_sma:50,close<sma50,2022-12-12→2023-12-12,unconditional,252,0.0006921942357077831,0.008664231710548389,0.07989101155559605,-0.014386938544641681,0.0006008876157024279,0.014622819790176576,0.5436507936507936
SPY,1d,1,close_below_sma:50,close<sma50,2022-12-12→2023-12-12,conditional,84,0.0009994087728182055,0.009710534585237757,0.10292005697992532,-0.014417864432623717,0.0008761815447447807,0.017392929610510137,0.5357142857142857
SPY,1d,1,close_below_sma:50,close<sma50,2023-03-15→2024-03-14,unconditional,252,0.0010997446030646763,0.007584624191122498,0.1449965845838326,-0.013352522102079245,0.0007546540397972423,0.013511036416678017,0.5674603174603174
SPY,1d,1,close_below_sma:50,close<sma50,2023-03-15→2024-03-14,conditional,60,0.0007020637297417939,0.009300788318029886,0.07548432517067613,-0.014729202411247843,0.0008761815447447807,0.014458788634506193,0.55
SPY,1d,1,close_below_sma:50,close<sma50,2023-06-14→2024-06-13,unconditional,252,0.0008845351423845678,0.007170345274596042,0.12336018817927845,-0.012886761230654947,0.0007738747908997423,0.01191693961559258,0.5674603174603174
SPY,1d,1,close_below_sma:50,close<sma50,2023-06-14→2024-06-13,conditional,65,0.000541237755633586,0.008671755430190614,0.06241386302815612,-0.014253538857884718,0.000399173476096637,0.01193918282906461,0.5076923076923077
SPY,1d,1,close_below_sma:50,close<sma50,2023-09-14→2024-09-13,unconditional,252,0.0009172555275265749,0.008029325979941503,0.11423817264587599,-0.01393104264009265,0.0011010184172566273,0.01238851134275606,0.5873015873015873
SPY,1d,1,close_below_sma:50,close<sma50,2023-09-14→2024-09-13,conditional,66,0.0011147772984992988,0.010348944681919454,0.10771893490231095,-0.015553768267369067,0.0005558779255808721,0.016397930331948196,0.5303030303030303
SPY,1d,1,close_below_sma:50,close<sma50,2023-12-13→2024-12-12,unconditional,252,0.0010222889049865222,0.007657493537713797,0.13350176529064814,-0.01324259814377206,0.0011106399623194152,0.011978125766872969,0.5992063492063492
