symbol,timeframe,horizon,event_spec,event,slice_name,regime_spec,regime,slice,n,mean,std,sharpe,sharpe_ann,q05,q50,q95,hit_rate
SPY,1d,1,gap_down:0.02,(gap_down>=0.02 AND vol_high_q0.67),2022,vol_high:0.67,vol_high_q0.67,unconditional,251,-0.00019737418615024422,0.012675516216389423,-0.015571293727275557,-0.24718662476346687,-0.02215492150399051,7.190106413568209e-05,0.018399175032558723,0.50199203187251
SPY,1d,1,gap_down:0.02,(gap_down>=0.02 AND vol_high_q0.67),2022,vol_high:0.67,vol_high_q0.67,conditional,4,-0.004408075407484224,0.02018780996327456,-0.21835332388720455,-3.466251557699296,-0.026371333520066476,-0.003475044712706876,0.016248939732409734,0.5
SPY,1d,1,gap_down:0.02,(gap_down>=0.02 AND vol_high_q0.67),2023,vol_high:0.67,vol_high_q0.67,unconditional,250,0.0007684615058382835,0.007079758438125029,0.10854346409618452,1.7230740746398352,-0.010747862951151559,0.0012653390210345394,0.012078730543349146,0.592
SPY,1d,1,gap_down:0.02,(gap_down>=0.02 AND vol_high_q0.67),2023,vol_high:0.67,vol_high_q0.67,conditional,0,,,,,,,,
SPY,1d,1,gap_down:0.02,(gap_down>=0.02 AND vol_high_q0.67),2024,vol_high:0.67,vol_high_q0.67,unconditional,252,1.619965763861269e-05,0.0061235782189554035,0.0026454561466148995,0.0419953144096215,-0.011049129235061156,0.0004911589541871653,0.009189869169544871,0.5317460317460317
SPY,1d,1,gap_down:0.02,(gap_down>=0.02 AND vol_high_q0.67),2024,vol_high:0.67,vol_high_q0.67,conditional,1,0.005643080004622325,,,,0.005643080004622325,0.005643080004622325,0.005643080004622325,1.0
SPY,1d,1,gap_down:0.02,(gap_down>=0.02 AND vol_high_q0.67),2025,vol_high:0.67,vol_high_q0.67,unconditional,250,0.00040879183117008245,0.010962276109529141,0.03729078040779627,0.5919727869272924,-0.0125818153044587,0.0004977231496828827,0.010510341012988035,0.524
SPY,1d,1,gap_down:0.02,(gap_down>=0.02 AND vol_high_q0.67),2025,vol_high:0.67,vol_high_q0.67,conditional,5,-0.0050616774076914115,0.035048051617051386,-0.14442107832404674,-2.2926135439272515,-0.04593049371866267,0.006493290266724294,0.02902071619604549,0.6
SPY,1d,1,gap_down:0.02,(gap_down>=0.02 AND vol_high_q0.67),2026,vol_high:0.67,vol_high_q0.67,unconditional,5,0.0019141807733709993,0.003757514279116429,0.5094274116294548,8.086909453265227,-0.0028161701922705617,0.0017187636554316654,0.005508278868368154,0.8
SPY,1d,1,gap_down:0.02,(gap_down>=0.02 AND vol_high_q0.67),2026,vol_high:0.67,vol_high_q0.67,conditional,0,,,,,,,,
